Pos,Team,PTS,Year
10,Lotus Renault,0,2011 Constructor Standings
11,HRT Cosworth,0,2011 Constructor Standings
12,Virgin Cosworth,0,2011 Constructor Standings
1,Red Bull Racing Renault,460,2012 Constructor Standings
2,Ferrari,400,2012 Constructor Standings
3,McLaren Mercedes,378,2012 Constructor Standings
4,Lotus Renault,303,2012 Constructor Standings
5,Mercedes,142,2012 Constructor Standings
6,Sauber Ferrari,126,2012 Constructor Standings
7,Force India Mercedes,109,2012 Constructor Standings
8,Williams Renault,76,2012 Constructor Standings
9,STR Ferrari,26,2012 Constructor Standings
10,Caterham Renault,0,2012 Constructor Standings
11,Marussia Cosworth,0,2012 Constructor Standings
12,HRT Cosworth,0,2012 Constructor Standings
1,Red Bull Racing Renault,596,2013 Constructor Standings
2,Mercedes,360,2013 Constructor Standings
3,Ferrari,354,2013 Constructor Standings
4,Lotus Renault,315,2013 Constructor Standings
5,McLaren Mercedes,122,2013 Constructor Standings
6,Force India Mercedes,77,2013 Constructor Standings
7,Sauber Ferrari,57,2013 Constructor Standings
8,STR Ferrari,33,2013 Constructor Standings
9,Williams Renault,5,2013 Constructor Standings
10,Marussia Cosworth,0,2013 Constructor Standings
11,Caterham Renault,0,2013 Constructor Standings
1,Mercedes,701,2014 Constructor Standings
2,Red Bull Racing Renault,405,2014 Constructor Standings
3,Williams Mercedes,320,2014 Constructor Standings
4,Ferrari,216,2014 Constructor Standings
5,McLaren Mercedes,181,2014 Constructor Standings
6,Force India Mercedes,155,2014 Constructor Standings
7,STR Renault,30,2014 Constructor Standings
8,Lotus Renault,10,2014 Constructor Standings
9,Marussia Ferrari,2,2014 Constructor Standings
10,Sauber Ferrari,0,2014 Constructor Standings
11,Caterham Renault,0,2014 Constructor Standings
1,Mercedes,703,2015 Constructor Standings
2,Ferrari,428,2015 Constructor Standings
3,Williams Mercedes,257,2015 Constructor Standings
4,Red Bull Racing Renault,187,2015 Constructor Standings
5,Force India Mercedes,136,2015 Constructor Standings
6,Lotus Mercedes,78,2015 Constructor Standings
7,STR Renault,67,2015 Constructor Standings
8,Sauber Ferrari,36,2015 Constructor Standings
9,McLaren Honda,27,2015 Constructor Standings
10,Marussia Ferrari,0,2015 Constructor Standings
1,Mercedes,765,2016 Constructor Standings
2,Red Bull Racing TAG Heuer,468,2016 Constructor Standings
3,Ferrari,398,2016 Constructor Standings
4,Force India Mercedes,173,2016 Constructor Standings
